"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTR142-0508"	3499	947395	"TTR142-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR143-0508"	3437	988332	"TTR143-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR146-0508"	3905	825575	"TTR146-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR147-0508"	3248	804211	"TTR147-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR148-0508"	3446	859537	"TTR148-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR149-0508"	3308	948691	"TTR149-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR150-0508"	3537	1170209	"TTR150-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR152-0508"	3767	928130	"TTR152-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR153-0508"	3070	808626	"TTR153-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR157-0508"	2911	953652	"TTR157-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR158-0508"	3345	1046577	"TTR158-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR159-0508"	3305	1057981	"TTR159-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR162-0508"	3742	817819	"TTR162-0508"	"P0508"	"C10_CD4-CXCL13"	"TTR"	0	"1"
"TTR166-0508"	3688	865523	"TTR166-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR169-0508"	3201	950078	"TTR169-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR170-0508"	3561	747186	"TTR170-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR171-0508"	2941	701652	"TTR171-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR172-0508"	2961	954064	"TTR172-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR174-0508"	4032	912805	"TTR174-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR175-0508"	3956	989577	"TTR175-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR177-0508"	4526	1058940	"TTR177-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR178-0508"	3465	995719	"TTR178-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR180-0508"	3380	1099375	"TTR180-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR182-0508"	3532	1035495	"TTR182-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR183-0508"	3381	898757	"TTR183-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR184-0508"	3135	1046663	"TTR184-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR185-0508"	4001	1096816	"TTR185-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR186-0508"	3308	837915	"TTR186-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR187-0508"	4006	1057057	"TTR187-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR188-0508"	4006	1064863	"TTR188-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR190-0508"	2605	885989	"TTR190-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR191-0508"	3548	1000961	"TTR191-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR192-0508"	2900	1011690	"TTR192-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTH126-0508"	1787	461906	"TTH126-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH127-0508"	1900	557799	"TTH127-0508"	"P0508"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTH148-0508"	3052	656933	"TTH148-0508"	"P0508"	"unknown"	"TTH"	0	"1"
"TTR123-0508"	3264	1113332	"TTR123-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR132-0508"	2281	725352	"TTR132-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR137-0508"	2293	858706	"TTR137-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR139-0508"	2801	794560	"TTR139-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR144-0508"	2630	786245	"TTR144-0508"	"P0508"	"unknown"	"TTR"	0	"1"
"TTR145-0508"	2387	690149	"TTR145-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR151-0508"	2903	825374	"TTR151-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR155-0508"	2801	1070600	"TTR155-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR160-0508"	2764	959305	"TTR160-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR163-0508"	3138	830414	"TTR163-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR164-0508"	2502	772612	"TTR164-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR167-0508"	3464	926314	"TTR167-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR173-0508"	2509	982361	"TTR173-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR179-0508"	2472	808238	"TTR179-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR189-0508"	2118	566760	"TTR189-0508"	"P0508"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTH5-1116"	3827	659244	"TTH5-1116"	"P1116"	"C10_CD4-CXCL13"	"TTH"	0	"1"
"TTR100-1116"	3956	1413070	"TTR100-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR101-1116"	3446	1127540	"TTR101-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR10-1116"	3927	1440019	"TTR10-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR102-1116"	3916	733272	"TTR102-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR105-1116"	3086	1010511	"TTR105-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR107-1116"	3547	1287952	"TTR107-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR108-1116"	3979	1350617	"TTR108-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR110-1116"	4106	1109699	"TTR110-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR111-1116"	5267	1170896	"TTR111-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR11-1116"	3487	1270117	"TTR11-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR1-1116"	3403	1117109	"TTR1-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR112-1116"	3036	1118069	"TTR112-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR14-1116"	3373	1008399	"TTR14-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR15-1116"	3219	983149	"TTR15-1116"	"P1116"	"C07_CD4-FOXP3"	"TTR"	0	"1"
"TTR16-1116"	3253	1019994	"TTR16-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR17-1116"	3765	953310	"TTR17-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR19-1116"	3710	1149901	"TTR19-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR20-1116"	3907	963996	"TTR20-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR22-1116"	3498	1143872	"TTR22-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR23-1116"	4607	1427126	"TTR23-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR24-1116"	3787	1257749	"TTR24-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR3-1116"	4502	1325131	"TTR3-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR4-1116"	3998	1231660	"TTR4-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR5-1116"	3558	1433404	"TTR5-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR6-1116"	5351	1371424	"TTR6-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR7-1116"	3292	1132943	"TTR7-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR8-1116"	3304	975185	"TTR8-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR9-1116"	4292	1210811	"TTR9-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR97-1116"	3489	1161109	"TTR97-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"NTR21-1116"	4928	1429896	"NTR21-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR34-1116"	4139	1509887	"NTR34-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR37-1116"	4953	1583663	"NTR37-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR5-1116"	4710	1713420	"NTR5-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR87-1116"	4245	1460726	"NTR87-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR96-1116"	4606	1663665	"NTR96-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"TTH82-1116"	4692	1758915	"TTH82-1116"	"P1116"	"C10_CD4-CXCL13"	"TTH"	0	"1"
"TTH95-1116"	4037	1796188	"TTH95-1116"	"P1116"	"C08_CD4-CTLA4"	"TTH"	0	"1"
"TTR26-1116"	3850	1561962	"TTR26-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR27-1116"	3755	1636995	"TTR27-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR31-1116"	4100	1093929	"TTR31-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR34-1116"	4286	1510828	"TTR34-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR35-1116"	4149	1397551	"TTR35-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR40-1116"	4054	1223291	"TTR40-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR44-1116"	3908	1618753	"TTR44-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR46-1116"	3700	1522816	"TTR46-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR47-1116"	3822	1017702	"TTR47-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"NTR14-1116"	4173	1133207	"NTR14-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR16-1116"	4297	1125062	"NTR16-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR18-1116"	3176	1058977	"NTR18-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR19-1116"	2973	806276	"NTR19-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR25-1116"	3518	929257	"NTR25-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR28-1116"	4096	1029157	"NTR28-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR30-1116"	4553	1142867	"NTR30-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR40-1116"	4274	1199059	"NTR40-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR48-1116"	4905	1644160	"NTR48-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR49-1116"	4354	1155711	"NTR49-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR50-1116"	3671	1391158	"NTR50-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR52-1116"	4400	1538808	"NTR52-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR53-1116"	3967	1213833	"NTR53-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR56-1116"	4808	1625036	"NTR56-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR58-1116"	3199	864191	"NTR58-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR60-1116"	4472	465170	"NTR60-1116"	"P1116"	"unknown"	"NTR"	0	"1"
"NTR66-1116"	3804	805088	"NTR66-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR67-1116"	3831	1197058	"NTR67-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR68-1116"	4611	803170	"NTR68-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR76-1116"	3632	599645	"NTR76-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR84-1116"	4663	1260196	"NTR84-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR88-1116"	3678	914208	"NTR88-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"NTR93-1116"	3644	805326	"NTR93-1116"	"P1116"	"C08_CD4-CTLA4"	"NTR"	0	"1"
"PTR30-1116"	3546	927579	"PTR30-1116"	"P1116"	"C07_CD4-FOXP3"	"PTR"	0	"1"
"TTR113-1116"	4581	1325015	"TTR113-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR114-1116"	4939	1414801	"TTR114-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR115-1116"	3529	1418288	"TTR115-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR116-1116"	3547	1851814	"TTR116-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR118-1116"	4000	1296611	"TTR118-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR119-1116"	3206	1257515	"TTR119-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR120-1116"	2580	1994661	"TTR120-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR29-1116"	5164	1285617	"TTR29-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR30-1116"	5359	1347380	"TTR30-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR49-1116"	3515	374619	"TTR49-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR50-1116"	4014	884660	"TTR50-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR51-1116"	3349	569569	"TTR51-1116"	"P1116"	"C07_CD4-FOXP3"	"TTR"	0	"1"
"TTR53-1116"	3560	722632	"TTR53-1116"	"P1116"	"C07_CD4-FOXP3"	"TTR"	0	"1"
"TTR54-1116"	4311	1009105	"TTR54-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR56-1116"	3568	564279	"TTR56-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR58-1116"	4182	1667095	"TTR58-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR60-1116"	3770	1776377	"TTR60-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR61-1116"	4150	1583918	"TTR61-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR62-1116"	4433	1610237	"TTR62-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR63-1116"	3654	1460288	"TTR63-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR66-1116"	3459	1107317	"TTR66-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR70-1116"	3321	1065138	"TTR70-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR71-1116"	3677	1077331	"TTR71-1116"	"P1116"	"C07_CD4-FOXP3"	"TTR"	0	"1"
"TTR72-1116"	4070	1028285	"TTR72-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR73-1116"	3508	1317987	"TTR73-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR76-1116"	3253	1590152	"TTR76-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR77-1116"	3731	1540303	"TTR77-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR78-1116"	4360	1906980	"TTR78-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR79-1116"	3428	1692154	"TTR79-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR80-1116"	3292	1402150	"TTR80-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR81-1116"	4195	1332521	"TTR81-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR83-1116"	3897	1299895	"TTR83-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR84-1116"	4124	1458753	"TTR84-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR85-1116"	3535	990420	"TTR85-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR86-1116"	4171	1617818	"TTR86-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR87-1116"	3775	1293970	"TTR87-1116"	"P1116"	"unknown"	"TTR"	0	"1"
"TTR89-1116"	4305	1427664	"TTR89-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR90-1116"	4064	1272106	"TTR90-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR91-1116"	3987	1448395	"TTR91-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR92-1116"	4588	1443635	"TTR92-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR93-1116"	3934	1534282	"TTR93-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR94-1116"	4061	1240683	"TTR94-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR145-1116"	5400	1618752	"TTR145-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR147-1116"	5001	1473105	"TTR147-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR148-1116"	4116	1394842	"TTR148-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR149-1116"	3915	1358911	"TTR149-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR151-1116"	4004	1307227	"TTR151-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR152-1116"	3872	1112290	"TTR152-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR153-1116"	3572	1567343	"TTR153-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR154-1116"	3993	956417	"TTR154-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR155-1116"	3881	1414867	"TTR155-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR156-1116"	3708	1759059	"TTR156-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR157-1116"	3626	1367961	"TTR157-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR159-1116"	3373	1318307	"TTR159-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR161-1116"	3799	1550819	"TTR161-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR162-1116"	4039	1271609	"TTR162-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR164-1116"	3524	1157102	"TTR164-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR166-1116"	3139	1298624	"TTR166-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR167-1116"	2949	1214151	"TTR167-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR168-1116"	4079	1391113	"TTR168-1116"	"P1116"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"PTS13-0205"	5162	233087	"PTS13-0205"	"P0205"	"C06_CD4-CCR7"	"PTR"	0	"8"
"PTS2-0205"	3882	253464	"PTS2-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS33-0205"	3181	528844	"PTS33-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS62-0205"	4798	552047	"PTS62-0205"	"P0205"	"C06_CD4-CCR7"	"PTR"	0	"8"
"PTS65-0205"	3247	373517	"PTS65-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS9-0205"	3472	456336	"PTS9-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"TTS31-0205"	3488	324224	"TTS31-0205"	"P0205"	"unknown"	"TTR"	0	"8"
"PTS109-0205"	4162	87691	"PTS109-0205"	"P0205"	"unknown"	"PTR"	0	"8"
"PTS115-0205"	3612	465315	"PTS115-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS123-0205"	2496	145674	"PTS123-0205"	"P0205"	"unknown"	"PTR"	0	"8"
"PTS76-0205"	5162	520337	"PTS76-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS78-0205"	2961	507261	"PTS78-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS81-0205"	4490	549623	"PTS81-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS95-0205"	2832	483248	"PTS95-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTS136-0205"	4437	305966	"PTS136-0205"	"P0205"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR22-0322"	2604	520838	"PTR22-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR23-0322"	2876	583418	"PTR23-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR25-0322"	3023	551196	"PTR25-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR27-0322"	2714	611209	"PTR27-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR29-0322"	3070	598435	"PTR29-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR31-0322"	3169	624534	"PTR31-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR32-0322"	2784	597514	"PTR32-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR65-0322"	2878	514120	"PTR65-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR66-0322"	3122	550665	"PTR66-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR72-0322"	3480	737031	"PTR72-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR1-0322"	2995	668427	"PTR1-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR12-0322"	3217	627070	"PTR12-0322"	"P0322"	"C08_CD4-CTLA4"	"PTR"	0	"8"
"PTR14-0322"	2987	611900	"PTR14-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR19-0322"	3130	706483	"PTR19-0322"	"P0322"	"unknown"	"PTR"	0	"8"
"PTR35-0322"	2838	627632	"PTR35-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR37-0322"	2966	660097	"PTR37-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR38-0322"	2612	503564	"PTR38-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR43-0322"	2894	643665	"PTR43-0322"	"P0322"	"unknown"	"PTR"	0	"8"
"PTR44-0322"	2844	436399	"PTR44-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR45-0322"	3019	857844	"PTR45-0322"	"P0322"	"unknown"	"PTR"	0	"8"
"PTR46-0322"	3387	881255	"PTR46-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR48-0322"	2732	741618	"PTR48-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR5-0322"	2844	668316	"PTR5-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR52-0322"	2976	536374	"PTR52-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR55-0322"	2707	707241	"PTR55-0322"	"P0322"	"unknown"	"PTR"	0	"8"
"PTR57-0322"	3193	800590	"PTR57-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR6-0322"	3171	542102	"PTR6-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR64-0322"	2642	597907	"PTR64-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR7-0322"	3347	682431	"PTR7-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR73-0322"	2586	604728	"PTR73-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR74-0322"	2461	521560	"PTR74-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR81-0322"	2696	634279	"PTR81-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR84-0322"	2988	652814	"PTR84-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR88-0322"	2696	589210	"PTR88-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR90-0322"	2620	550994	"PTR90-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR93-0322"	2774	742619	"PTR93-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR94-0322"	2527	625957	"PTR94-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR96-0322"	3176	698454	"PTR96-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR10-0322"	3323	473917	"PTR10-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
"PTR11-0322"	3401	631081	"PTR11-0322"	"P0322"	"C07_CD4-FOXP3"	"PTR"	0	"8"
