"nGene"	"nUMI"	"orig.ident"	"Patient"	"majorCluster"	"sampleType"	"percent.mito"	"res.1"
"TTR20-0322"	3741	631754	"TTR20-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR2-0322"	3241	688338	"TTR2-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR22-0322"	3469	799557	"TTR22-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR23-0322"	4344	793439	"TTR23-0322"	"P0322"	"C06_CD4-CCR7"	"TTR"	0	"1"
"TTR25-0322"	3431	763667	"TTR25-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR26-0322"	3254	739274	"TTR26-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR28-0322"	3556	808573	"TTR28-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR29-0322"	3136	843351	"TTR29-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR30-0322"	3624	694368	"TTR30-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR3-0322"	3261	629020	"TTR3-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR33-0322"	4723	1016713	"TTR33-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR34-0322"	3056	735196	"TTR34-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR35-0322"	3702	599100	"TTR35-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR36-0322"	3279	769126	"TTR36-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR37-0322"	3555	1005420	"TTR37-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR39-0322"	3844	778936	"TTR39-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR41-0322"	2629	604364	"TTR41-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR42-0322"	3065	838909	"TTR42-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR43-0322"	2775	645128	"TTR43-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR44-0322"	4175	1142008	"TTR44-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR46-0322"	3856	910506	"TTR46-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR47-0322"	3768	963093	"TTR47-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
"TTR48-0322"	2131	570635	"TTR48-0322"	"P0322"	"C08_CD4-CTLA4"	"TTR"	0	"1"
