""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SNHG17"	0.000468008439861086	0.465467980574456	0.208	0.097	1	"4"	"SNHG17"
"LPAR2"	0.000476333200726169	0.415522008986074	0.396	0.236	1	"4"	"LPAR2"
"C19orf12"	0.000476665307933558	0.306011325431714	0.323	0.178	1	"4"	"C19orf12"
"RBM19"	0.000479421696116884	0.363974126401369	0.365	0.213	1	"4"	"RBM19"
"SPAG9"	0.000485337054889895	0.398785187561559	0.375	0.222	1	"4"	"SPAG9"
"SLC4A2"	0.000488687106095271	0.472133388252766	0.208	0.097	1	"4"	"SLC4A2"
"GINS2"	0.000488877330818016	0.641124141914079	0.115	0.04	1	"4"	"GINS2"
"PPP1CB1"	0.000491215849836981	0.393818995321361	0.719	0.601	1	"4"	"PPP1CB"
"CHEK1"	0.000499999337856647	0.806857750191803	0.104	0.034	1	"4"	"CHEK1"
"PPP1R11"	0.000502202136999859	0.39076643124305	0.583	0.387	1	"4"	"PPP1R11"
"SUGT1"	0.000506024497142493	0.298754795627166	0.49	0.302	1	"4"	"SUGT1"
"GMDS"	0.000509345583634786	0.302858242838238	0.344	0.189	1	"4"	"GMDS"
"NFE2L2"	0.000510053717917662	0.436575407294978	0.615	0.433	1	"4"	"NFE2L2"
"SENP3-EIF4A1"	0.000516514910185528	0.682152990969226	0.573	0.5	1	"4"	"SENP3-EIF4A1"
"PES1"	0.000520405133406773	0.608299305441636	0.271	0.145	1	"4"	"PES1"
"GNL2"	0.000520710979354223	0.649062669544699	0.312	0.176	1	"4"	"GNL2"
"CDK61"	0.000522217705916333	0.353157879414167	0.479	0.298	1	"4"	"CDK6"
"RTTN"	0.000524614887881363	0.320628023422086	0.208	0.096	1	"4"	"RTTN"
"ADRM1"	0.000536119890287916	0.429155340971794	0.656	0.472	1	"4"	"ADRM1"
"PPP2R1A"	0.000536965259876817	0.300231353898843	0.74	0.527	1	"4"	"PPP2R1A"
"CMC2"	0.000538063974148646	0.393711946985187	0.615	0.446	1	"4"	"CMC2"
"NUP58"	0.00054578117447919	0.359891549411581	0.51	0.331	1	"4"	"NUP58"
"CD3EAP"	0.000548283019753938	0.442610072113654	0.25	0.126	1	"4"	"CD3EAP"
"GRB2"	0.000554147955275264	0.278965167807614	0.76	0.599	1	"4"	"GRB2"
"SRGN1"	0.000559299237443356	0.340216405984444	0.99	0.917	1	"4"	"SRGN"
"RHEB"	0.000564352668925662	0.284586770042979	0.573	0.375	1	"4"	"RHEB"
"CLPTM1L"	0.000564762144501411	0.685977540450629	0.208	0.098	1	"4"	"CLPTM1L"
"TRIP6"	0.000566563641506829	0.417247028732285	0.125	0.046	1	"4"	"TRIP6"
"AAGAB"	0.00056762006730442	0.320074271671332	0.458	0.292	1	"4"	"AAGAB"
