"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"
"ARIH2OS"	0.370136671548332	-0.15207122161389	0.383	0.386	1	"ARIH2OS"
"HIP1"	0.370253093531791	-0.194267487096327	0.163	0.138	1	"HIP1"
"HBE1"	0.370353043890273	-0.0309367231750128	0.008	0.014	1	"HBE1"
"CCDC3"	0.370353043890273	-0.0811094382146411	0.008	0.014	1	"CCDC3"
"TTYH1"	0.370357042758461	0.204076175768475	0.014	0.007	1	"TTYH1"
"CENPF"	0.370389158343891	0.13088526137688	0.071	0.09	1	"CENPF"
"HACD2"	0.370401219938424	-0.00223281961067023	0.109	0.09	1	"HACD2"
"SUMO4"	0.370437310646566	-0.112605797220712	0.079	0.062	1	"SUMO4"
"ACOX1"	0.370550999346995	0.288936303700837	0.263	0.238	1	"ACOX1"
"ANKRD36"	0.370564112200741	-0.139102106938026	0.816	0.824	1	"ANKRD36"
"SWI5"	0.370641594820515	0.223361084891546	0.09	0.11	1	"SWI5"
"MIPEP"	0.37098443636759	0.124010070236611	0.071	0.09	1	"MIPEP"
"SLC24A4"	0.371098820344962	0.421177255033652	0.014	0.007	1	"SLC24A4"
"LINC01252"	0.371098820344962	0.100777537362119	0.014	0.007	1	"LINC01252"
"UAP1"	0.371182548995204	-0.126001439195715	0.097	0.117	1	"UAP1"
"MLXIP"	0.371280980162603	-0.00253146246406621	0.267	0.248	1	"MLXIP"
"MIR1914"	0.371430446857552	0.101721794056212	0.018	0.01	1	"MIR1914"
"C7orf61"	0.37163996584187	-0.00848029341590717	0.023	0.014	1	"C7orf61"
"FGD1"	0.371644786152138	-0.204805450358657	0.128	0.152	1	"FGD1"
"TP53RK"	0.371800069137684	-0.203243039590611	0.226	0.252	1	"TP53RK"
"TMBIM1"	0.371812862309249	-0.247547799232964	0.544	0.572	1	"TMBIM1"
"NOX1"	0.371841519229966	0.135966985159104	0.014	0.007	1	"NOX1"
"AR"	0.371841519229966	0.0982847762161603	0.014	0.007	1	"AR"
"RIMBP3"	0.371841519229966	0.0213827451149262	0.014	0.007	1	"RIMBP3"
"TTC8"	0.371841519229966	-0.290227340771015	0.014	0.007	1	"TTC8"
"SHTN1"	0.371856519934211	0.70696339903546	0.035	0.024	1	"SHTN1"
"GP6"	0.371992659423728	0.252435121684546	0.008	0.014	1	"GP6"
"LOC100132356"	0.372001750371488	-0.503349395141083	0.149	0.169	1	"LOC100132356"
"C16orf95"	0.372068102558079	0.231653471543633	0.018	0.01	1	"C16orf95"
"SRPK3"	0.372068102558079	0.121103387796248	0.018	0.01	1	"SRPK3"
"MARS2"	0.372485334342347	-0.746647398309744	0.074	0.09	1	"MARS2"
"LOC100129216"	0.372585139125598	0.315309172326232	0.014	0.007	1	"LOC100129216"
"JMJD1C-AS1"	0.372585139125598	0.0641198111589052	0.014	0.007	1	"JMJD1C-AS1"
"RHOBTB3"	0.372585139125598	-0.0220132017106618	0.014	0.007	1	"RHOBTB3"
"PRKD3"	0.372585956104488	0.128603261347891	0.231	0.214	1	"PRKD3"
"VPS53"	0.372633690887823	-0.175257228353524	0.343	0.303	1	"VPS53"
"STXBP2"	0.372658296754748	-0.190553807283674	0.544	0.569	1	"STXBP2"
"SNORD38B"	0.37270643647019	0.0368668733401845	0.018	0.01	1	"SNORD38B"
"PDE7A"	0.372767979443096	-0.170503602583596	0.448	0.486	1	"PDE7A"
"MAP3K4"	0.372866615188881	-0.28817085976656	0.214	0.245	1	"MAP3K4"
"FASLG"	0.373054013261591	0.753322110490796	0.087	0.107	1	"FASLG"
"NONO"	0.373285480553161	-0.137997969485137	0.816	0.828	1	"NONO"
"GPR161"	0.373329679740078	-0.723455723451005	0.014	0.007	1	"GPR161"
"HIST1H2BB"	0.373345448408904	0.214302247287757	0.018	0.01	1	"HIST1H2BB"
"EIF1"	0.37337722809528	0.0247256155534257	0.995	0.997	1	"EIF1"
"RANBP10"	0.373550354507609	0.0277555033351709	0.213	0.19	1	"RANBP10"
"TAF12"	0.37362058200244	0.132189552516179	0.304	0.283	1	"TAF12"
"CLDN1"	0.373636767859008	0.611236454045803	0.008	0.014	1	"CLDN1"
"DCTN6"	0.373834961244059	-0.12266131255663	0.29	0.259	1	"DCTN6"
"RNF212"	0.373962695784649	0.0145058090754739	0.021	0.031	1	"RNF212"
"HERC1"	0.373963203557956	-0.0810750071261317	0.655	0.624	1	"HERC1"
"SNX30"	0.374279164839419	0.115279734308823	0.116	0.097	1	"SNX30"
"DPP3"	0.374377013645031	0.0493465372838447	0.29	0.266	1	"DPP3"
"RNF113A"	0.374581743437365	-0.307341588445442	0.356	0.383	1	"RNF113A"
"EME2"	0.374625505615605	-0.14856462039145	0.018	0.01	1	"EME2"
"MAD2L2"	0.374647598762508	0.0523106535482312	0.271	0.245	1	"MAD2L2"
"TYW5"	0.374689749723695	0.149137632606783	0.205	0.183	1	"TYW5"
"OR2Z1"	0.374821521938906	0.00110515702698155	0.014	0.007	1	"OR2Z1"
"ZNF653"	0.374821521938906	-0.156586090134254	0.014	0.007	1	"ZNF653"
"IFIT3"	0.374895362399911	-0.500736656513004	0.09	0.107	1	"IFIT3"
"INTS6"	0.375088897138975	-0.0966327499469708	0.226	0.2	1	"INTS6"
"ZNF235"	0.375119772927513	-0.509873172003234	0.202	0.224	1	"ZNF235"
"WDR34"	0.375178739276034	0.292692771338379	0.125	0.152	1	"WDR34"
"GRIN3A"	0.375266550503018	-0.39210646512654	0.018	0.01	1	"GRIN3A"
"LOC100131626"	0.375295886297767	-0.313325329376079	0.161	0.179	1	"LOC100131626"
"CSRNP2"	0.375464808893371	0.247669085609557	0.119	0.1	1	"CSRNP2"
"TPM2"	0.375504195456401	0.511659606853923	0.035	0.024	1	"TPM2"
"ZNF397"	0.37556322364061	-0.759253303407388	0.112	0.131	1	"ZNF397"
"NSD1"	0.375846466963987	0.0549008741002876	0.483	0.469	1	"NSD1"
"DMC1"	0.375908272655884	0.414477550779355	0.018	0.01	1	"DMC1"
"PDCD1LG2"	0.376022520327334	0.430927187488528	0.055	0.041	1	"PDCD1LG2"
"KIAA1614"	0.376317043413946	-0.416519645587307	0.014	0.007	1	"KIAA1614"
"FCHO1"	0.376368796798557	0.0137702932801955	0.216	0.248	1	"FCHO1"
"ENPP1"	0.376550671878601	0.230377066961057	0.018	0.01	1	"ENPP1"
"PIWIL4"	0.376550671878601	-0.193654828303739	0.018	0.01	1	"PIWIL4"
"CAPG"	0.376664659395306	-0.0294729469649838	0.214	0.241	1	"CAPG"
"NSMCE1"	0.376687378119848	0.060795939866331	0.375	0.345	1	"NSMCE1"
"SNURF"	0.376767712257693	-0.0870003288718382	0.739	0.755	1	"SNURF"
"ISCA1"	0.37680809479603	-0.35746263251893	0.309	0.338	1	"ISCA1"
"ST20"	0.377076061625942	-0.127281069638889	0.076	0.093	1	"ST20"
"CKAP2L"	0.377085018670683	0.403662670790713	0.021	0.031	1	"CKAP2L"
"UBE2L3"	0.37709434388719	-0.168953075317862	0.673	0.624	1	"UBE2L3"
"UBE4A"	0.377237336561332	-0.265883511656901	0.612	0.617	1	"UBE4A"
"RRN3"	0.377652394830512	-0.178196158728211	0.447	0.424	1	"RRN3"
"NXT2"	0.377841912335109	-0.285120693977061	0.12	0.141	1	"NXT2"
"SLC10A1"	0.37848192997793	-0.524933383105479	0.018	0.01	1	"SLC10A1"
"TAF1L"	0.378727534371563	-0.122030903381424	0.094	0.076	1	"TAF1L"
"DHX29"	0.378733448533283	0.32163168025099	0.351	0.334	1	"DHX29"
"MUTYH"	0.378901078538541	0.128390071816838	0.236	0.21	1	"MUTYH"
"RPS6KB2"	0.378917752025693	-0.0225123630191529	0.445	0.421	1	"RPS6KB2"
"STS"	0.379003342333224	-0.1589724140119	0.079	0.097	1	"STS"
"SPIN2B"	0.379017393150328	0.151255779888607	0.097	0.079	1	"SPIN2B"
"YPEL2"	0.379046091758192	-0.185357797752122	0.292	0.317	1	"YPEL2"
"MIR555"	0.379173889346013	0.45645690471109	0.035	0.024	1	"MIR555"
"FITM1"	0.379183981040464	-0.0713194394920036	0.024	0.034	1	"FITM1"
"UTP20"	0.379198494903691	-0.0636884122902435	0.16	0.138	1	"UTP20"
"ZW10"	0.379202066756135	0.208829561375646	0.117	0.141	1	"ZW10"
"SENP5"	0.379372247096995	-0.383288902458079	0.489	0.503	1	"SENP5"
"ARHGAP19"	0.379382163034684	-0.509890038040899	0.149	0.124	1	"ARHGAP19"
"DDX6"	0.379497496828674	0.0325844105843911	0.757	0.748	1	"DDX6"
"ARHGAP44"	0.379826489796768	-0.678884189993761	0.033	0.045	1	"ARHGAP44"
"SCCPDH"	0.379842263689032	0.571584784882628	0.073	0.059	1	"SCCPDH"
"DUT"	0.379888192232865	-0.000324264861752965	0.43	0.397	1	"DUT"
"DOPEY2"	0.379903397047967	-0.58927254412101	0.141	0.162	1	"DOPEY2"
"ZNF416"	0.379936687552381	-0.338316484720875	0.027	0.038	1	"ZNF416"
"KLHDC4"	0.380049768081333	0.157858131242262	0.251	0.228	1	"KLHDC4"
"LACTB2"	0.380160439656148	0.707795782877281	0.132	0.117	1	"LACTB2"
"ATP11B"	0.380169958696048	0.0845642185565161	0.409	0.386	1	"ATP11B"
"GLRX5"	0.380334383536403	-0.163814096652831	0.128	0.148	1	"GLRX5"
"TTC21A"	0.380617254479407	-1.53730613562766	0.036	0.048	1	"TTC21A"
"DHX32"	0.380631393046973	-0.189570368153664	0.184	0.21	1	"DHX32"
"ZNF706"	0.381114224932478	-0.12985536116265	0.641	0.669	1	"ZNF706"
"USP24"	0.38120588532788	-0.0459428933708483	0.369	0.352	1	"USP24"
"TUBE1"	0.381296700352808	-0.573390561770096	0.163	0.183	1	"TUBE1"
"RXRB"	0.381316144770664	-0.0655023486260882	0.22	0.252	1	"RXRB"
"LRRC23"	0.381539043219617	-0.458353015538139	0.033	0.045	1	"LRRC23"
"PPP1R18"	0.381621917285512	0.0910144043011721	0.813	0.793	1	"PPP1R18"
"LOC100133091"	0.381751105002575	-0.405965917593905	0.094	0.114	1	"LOC100133091"
"FASN"	0.381789106969565	0.00812573538516093	0.074	0.059	1	"FASN"
"RAB5C"	0.381804998171354	-0.00808892803718003	0.632	0.586	1	"RAB5C"
"UQCC3"	0.381826888452099	0.14256828928332	0.196	0.228	1	"UQCC3"
"SUGP2"	0.381971443305971	-0.399366563186793	0.422	0.441	1	"SUGP2"
"NUP214"	0.382030307126557	-0.0990805153793745	0.439	0.41	1	"NUP214"
"PMS2"	0.382280922334431	-0.727630777104895	0.112	0.131	1	"PMS2"
"PIGC"	0.382353428288087	-0.300009139953335	0.266	0.286	1	"PIGC"
"SLX1A"	0.382479077456082	0.0510443263409455	0.216	0.193	1	"SLX1A"
"CYP2D6"	0.382499215203641	0.293910021299277	0.085	0.069	1	"CYP2D6"
"RAPGEF2"	0.382678195685327	-0.545431075255196	0.082	0.1	1	"RAPGEF2"
"MGRN1"	0.382775099873093	-0.000124473128217839	0.362	0.331	1	"MGRN1"
"USP37"	0.383124307471493	0.0647136399212966	0.214	0.193	1	"USP37"
"SMARCD2"	0.383509648605438	-0.620928587070042	0.152	0.169	1	"SMARCD2"
"CLCC1"	0.383740336949734	0.263321015119918	0.345	0.338	1	"CLCC1"
"PIGM"	0.383841410452894	0.119158240461548	0.271	0.245	1	"PIGM"
"ZNF671"	0.384246410374494	-0.371954518304592	0.093	0.11	1	"ZNF671"
"MRPL28"	0.384368584103566	-0.0649973970009642	0.38	0.345	1	"MRPL28"
"LINC00630"	0.384518057391832	0.138597178948165	0.058	0.072	1	"LINC00630"
"LINC00667"	0.384644763855565	-0.0905236685024518	0.302	0.334	1	"LINC00667"
"DDAH2"	0.384913805991829	-0.117330741116477	0.099	0.117	1	"DDAH2"
"PHAX"	0.385094403884714	0.115557700515818	0.359	0.328	1	"PHAX"
"TRAPPC2L"	0.385291169668887	0.102436147064921	0.383	0.369	1	"TRAPPC2L"
"DPH3P1"	0.385355436496846	0.0455080940053314	0.047	0.034	1	"DPH3P1"
"MCEE"	0.385503034218435	-0.0545050916977294	0.163	0.138	1	"MCEE"
"MXI1"	0.385635092239995	-0.0449894624453682	0.158	0.186	1	"MXI1"
"TOM1L2"	0.385688736955793	-0.431097960931456	0.207	0.231	1	"TOM1L2"
"HNRNPDL"	0.385803956092772	-0.140694656227069	0.913	0.883	1	"HNRNPDL"
"SLC25A43"	0.385961692638374	0.0228158524820827	0.062	0.048	1	"SLC25A43"
"SNORA16A"	0.385989913623949	-0.353431352372521	0.036	0.048	1	"SNORA16A"
"CCDC84"	0.386368623808212	0.215115384010641	0.503	0.472	1	"CCDC84"
"PRR12"	0.386388564942676	0.126235114482213	0.116	0.097	1	"PRR12"
"SLC11A2"	0.386445796854746	-0.0825592235002375	0.289	0.262	1	"SLC11A2"
"CENPJ"	0.386452410012249	0.352478758216377	0.102	0.086	1	"CENPJ"
"C3orf33"	0.386501894074321	-0.576974924465334	0.03	0.041	1	"C3orf33"
"HTATSF1P2"	0.386556039509271	-0.621124229636783	0.047	0.034	1	"HTATSF1P2"
"ABCD1"	0.386643051090245	0.103801043144128	0.059	0.045	1	"ABCD1"
"TXLNG"	0.38667382855058	-0.516260615990678	0.19	0.207	1	"TXLNG"
"HK2"	0.386689897918501	-0.778048459554327	0.049	0.062	1	"HK2"
"ZNF581"	0.386764010249888	-0.559958715124149	0.106	0.124	1	"ZNF581"
"NCKIPSD"	0.386896379649157	-0.326724387149234	0.064	0.079	1	"NCKIPSD"
"WDR90"	0.386953268522019	-0.16906897870877	0.03	0.041	1	"WDR90"
"TRAPPC3"	0.387325688428739	0.0163179481105743	0.426	0.397	1	"TRAPPC3"
"BOD1"	0.387665094448431	-0.958520566976494	0.079	0.093	1	"BOD1"
"ATIC"	0.387763080602113	-0.158709974325681	0.38	0.414	1	"ATIC"
"ARAF"	0.387770574930574	0.0823605843413133	0.45	0.428	1	"ARAF"
"PCMT1"	0.387797823602091	-0.230083541324158	0.547	0.545	1	"PCMT1"
"EPS8L1"	0.38800321200292	-0.670602842936499	0.033	0.045	1	"EPS8L1"
"NQO2"	0.388118703881931	0.109067064477391	0.167	0.145	1	"NQO2"
"RECQL4"	0.38812484418346	0.880810463496528	0.03	0.021	1	"RECQL4"
"PSMG3-AS1"	0.388354007987678	-0.404611697978032	0.043	0.055	1	"PSMG3-AS1"
"SNORD38A"	0.388562110612169	-0.231563536541044	0.04	0.052	1	"SNORD38A"
"ISG20L2"	0.388574107600868	0.11867828982841	0.258	0.238	1	"ISG20L2"
"ZNF793"	0.388717528499553	0.553571323148438	0.081	0.066	1	"ZNF793"
"HSPA6"	0.388911314453684	-1.50263343810553	0.035	0.024	1	"HSPA6"
"KLHL42"	0.389089710370421	-0.235397376088757	0.161	0.138	1	"KLHL42"
"ZNF582"	0.389304008422353	-0.263619219915254	0.033	0.045	1	"ZNF582"
"EAF1"	0.389460545388432	-0.382804930094846	0.264	0.29	1	"EAF1"
"SLC7A1"	0.389704688085605	-0.359098776015213	0.152	0.176	1	"SLC7A1"
"GPM6B"	0.389918395228138	-0.148379136896545	0.067	0.052	1	"GPM6B"
"TUBA8"	0.389994462925248	-0.342286603458292	0.111	0.131	1	"TUBA8"
"LOC100506844"	0.390064211238223	-0.217095771727763	0.055	0.041	1	"LOC100506844"
"GCFC2"	0.390214130800411	-0.303425879124674	0.181	0.203	1	"GCFC2"
"ZNF518A"	0.390413563747257	-0.0983445092927203	0.254	0.283	1	"ZNF518A"
"STK11"	0.390453809020368	0.125044963149051	0.093	0.076	1	"STK11"
"TMEM251"	0.390868981938033	-0.274046104253227	0.096	0.114	1	"TMEM251"
"ATF1"	0.390937137193836	-0.162470818873596	0.245	0.276	1	"ATF1"
"FRS2"	0.391494606195859	-0.231368200101637	0.143	0.124	1	"FRS2"
"ADAT3"	0.391605898004884	-0.328364094001362	0.128	0.145	1	"ADAT3"
"THOC7"	0.39163888668933	-0.235086017323286	0.319	0.348	1	"THOC7"
"ZNF318"	0.391690175904949	-0.528620348757448	0.147	0.169	1	"ZNF318"
"ZNF625-ZNF20"	0.391881286909076	-0.0132269930217335	0.1	0.083	1	"ZNF625-ZNF20"
"DPP9"	0.391989737781452	-0.154385049676925	0.356	0.321	1	"DPP9"
"EXOG"	0.392003977064634	0.0424469404417476	0.257	0.29	1	"EXOG"
"CYP2D7"	0.392223388749991	0.464459827957326	0.058	0.045	1	"CYP2D7"
"DNAJC19"	0.39233617332598	-0.189036634733474	0.362	0.341	1	"DNAJC19"
"NOMO1"	0.392396240007522	-0.235968313131068	0.204	0.179	1	"NOMO1"
"TRMT13"	0.39250028202775	-0.242098854757263	0.251	0.279	1	"TRMT13"
"CREBL2"	0.392740230888003	-0.353690685763743	0.283	0.317	1	"CREBL2"
"C20orf27"	0.392797752526425	-0.174205931757019	0.17	0.193	1	"C20orf27"
"PSMB4"	0.393022463772427	0.0369051145595298	0.798	0.762	1	"PSMB4"
"ZNF816-ZNF321P"	0.393129835827728	-0.223836829835349	0.108	0.128	1	"ZNF816-ZNF321P"
"RRAS"	0.393147023268723	0.181721039006967	0.03	0.021	1	"RRAS"
"HIST1H3J"	0.393147023268723	0.0855333971724974	0.03	0.021	1	"HIST1H3J"
"GTF3C2"	0.393166327128514	-0.117180664558125	0.333	0.372	1	"GTF3C2"
"ZNF252P-AS1"	0.393227509174668	0.730555171262458	0.05	0.038	1	"ZNF252P-AS1"
"FASTKD2"	0.393359313235205	-0.242353988259112	0.233	0.262	1	"FASTKD2"
"MTO1"	0.393398386790472	-0.312254303019871	0.287	0.317	1	"MTO1"
"RARA"	0.393468964317983	-0.285611467887936	0.275	0.248	1	"RARA"
"NQO1"	0.393630669600238	-0.0178299183908002	0.078	0.062	1	"NQO1"
"PCSK1N"	0.393651397535243	0.494223802398812	0.03	0.021	1	"PCSK1N"
"KIF23"	0.393657740604153	-0.704187653570208	0.058	0.072	1	"KIF23"
"CIT"	0.39379130970174	0.382101014045821	0.043	0.031	1	"CIT"
"EVI5L"	0.394096252461597	-0.201370334440663	0.033	0.045	1	"EVI5L"
"FAM156B"	0.39417145937843	0.00519548684050797	0.07	0.055	1	"FAM156B"
"SAP30BP"	0.394237350936313	-0.0461651398372848	0.489	0.455	1	"SAP30BP"
"SNORD36A"	0.3943365610426	0.0415604394518745	0.087	0.069	1	"SNORD36A"
"ROCK1"	0.394812527234715	-0.00873707661874934	0.728	0.693	1	"ROCK1"
"RBBP5"	0.394937111823312	-0.260900555753922	0.357	0.307	1	"RBBP5"
"STK36"	0.395078046298192	-0.0670654651354101	0.062	0.048	1	"STK36"
"LSM12"	0.39528413068832	-0.17014629738979	0.391	0.345	1	"LSM12"
"PSMC6"	0.395297923576895	-0.209806139851602	0.511	0.521	1	"PSMC6"
"DDX43"	0.395430034044979	-0.49118127649726	0.04	0.052	1	"DDX43"
"OTUD1"	0.395430034044979	-0.624003103505777	0.04	0.052	1	"OTUD1"
"TKT"	0.395618550083373	-0.188519788454182	0.36	0.386	1	"TKT"
"TIMM9"	0.396010233640982	-0.579880517536903	0.169	0.186	1	"TIMM9"
"LY96"	0.396176980323082	0.412577287881091	0.135	0.117	1	"LY96"
"OPLAH"	0.396179140845245	-0.167052577899564	0.03	0.021	1	"OPLAH"
"LOC100133331"	0.39622777275381	-0.239922820922462	0.074	0.09	1	"LOC100133331"
"SNORD24"	0.396353525776805	-0.331505478471773	0.011	0.017	1	"SNORD24"
"KCTD9"	0.396364148738139	0.37645576704203	0.207	0.186	1	"KCTD9"
"ZCCHC3"	0.39647846561605	-0.533158840699078	0.102	0.083	1	"ZCCHC3"
"LINC00294"	0.396489427878101	0.257522351272304	0.078	0.062	1	"LINC00294"
"DBNDD2"	0.396515148468444	0.0446014064665201	0.119	0.1	1	"DBNDD2"
"UNC93B1"	0.396759264775672	-0.291990822701067	0.05	0.038	1	"UNC93B1"
"NUDT13"	0.396873275291247	-0.219915526282779	0.036	0.048	1	"NUDT13"
"GPR4"	0.396878947305669	-0.00799933609903558	0.003	0.007	1	"GPR4"
"GRIN2A"	0.396878947305669	-0.00833063076249729	0.003	0.007	1	"GRIN2A"
"LOC442028"	0.396878947305669	-0.0119545317642187	0.003	0.007	1	"LOC442028"
"MME"	0.396878947305669	-0.026191203656114	0.003	0.007	1	"MME"
"IL11"	0.396878947305669	-0.0386086340844489	0.003	0.007	1	"IL11"
"SLC6A7"	0.396878947305669	-0.0476564056213125	0.003	0.007	1	"SLC6A7"
"DNAJC6"	0.396878947305669	-0.0718821066681956	0.003	0.007	1	"DNAJC6"
"RSPH10B"	0.396878947305669	-0.1260186289909	0.003	0.007	1	"RSPH10B"
"SKOR1"	0.396878947305669	-0.168609509377171	0.003	0.007	1	"SKOR1"
"FRRS1"	0.396878947305669	-0.203310025378997	0.003	0.007	1	"FRRS1"
"MIR4804"	0.396878947305669	-0.288650758082373	0.003	0.007	1	"MIR4804"
"MIR635"	0.396878947305669	-0.324239593911961	0.003	0.007	1	"MIR635"
"ROPN1B"	0.396878947305669	-0.409105774337237	0.003	0.007	1	"ROPN1B"
"ARHGAP20"	0.396878947305669	-0.479165350969564	0.003	0.007	1	"ARHGAP20"
"PDLIM4"	0.396878947305669	-0.482098111853691	0.003	0.007	1	"PDLIM4"
"RFPL3"	0.396878947305669	-0.637012176686425	0.003	0.007	1	"RFPL3"
"KRT16"	0.396878947305669	-0.647673044306235	0.003	0.007	1	"KRT16"
"LAMB2P1"	0.396878947305669	-0.691248305028004	0.003	0.007	1	"LAMB2P1"
"BST1"	0.396878947305669	-0.704976469104779	0.003	0.007	1	"BST1"
"TMC3"	0.396878947305669	-0.775952401854745	0.003	0.007	1	"TMC3"
"RDH16"	0.396878947305669	-0.778782636770699	0.003	0.007	1	"RDH16"
"RPRM"	0.396878947305669	-0.786723957988848	0.003	0.007	1	"RPRM"
"FAM160A1"	0.396878947305669	-0.913408769976546	0.003	0.007	1	"FAM160A1"
"MYLK4"	0.396878947305669	-0.956724865930594	0.003	0.007	1	"MYLK4"
"LINC00638"	0.396878947305669	-0.972732453385242	0.003	0.007	1	"LINC00638"
"MAP6D1"	0.396878947305669	-0.976788397939693	0.003	0.007	1	"MAP6D1"
"KDF1"	0.396878947305669	-1.10712178705918	0.003	0.007	1	"KDF1"
"TRIM71"	0.396878947305669	-1.14989241640965	0.003	0.007	1	"TRIM71"
"GTSE1-AS1"	0.396878947305669	-1.17764134427969	0.003	0.007	1	"GTSE1-AS1"
"LINC00221"	0.396878947305669	-1.52141584428793	0.003	0.007	1	"LINC00221"
"GBP3"	0.396986407655444	-0.348284183460639	0.614	0.61	1	"GBP3"
"MIR29B1"	0.397094205272491	-0.135472382910689	0.011	0.017	1	"MIR29B1"
"RGS10"	0.397290018071776	0.18863265430236	0.46	0.455	1	"RGS10"
"RPS8"	0.397661525055351	-0.0900301775530029	0.939	0.983	1	"RPS8"
"AGL"	0.397878348262796	-0.253274853399426	0.225	0.255	1	"AGL"
"MBD1"	0.398071642868091	-0.226459259870524	0.29	0.317	1	"MBD1"
"ANKRD36BP1"	0.398082889466247	-0.168151710831181	0.106	0.128	1	"ANKRD36BP1"
"NRSN1"	0.398157967276149	-0.00541605347952334	0.003	0.007	1	"NRSN1"
"WASH5P"	0.398157967276149	-0.00881876561243988	0.003	0.007	1	"WASH5P"
"MIR374A"	0.398157967276149	-0.0664497264663675	0.003	0.007	1	"MIR374A"
"DCDC2"	0.398157967276149	-0.0670313900448853	0.003	0.007	1	"DCDC2"
"C1orf194"	0.398157967276149	-0.076349065533118	0.003	0.007	1	"C1orf194"
"SYNPO2L"	0.398157967276149	-0.125068659559841	0.003	0.007	1	"SYNPO2L"
"PROKR1"	0.398157967276149	-0.152603441504869	0.003	0.007	1	"PROKR1"
"TMEM163"	0.398157967276149	-0.160179649707447	0.003	0.007	1	"TMEM163"
"MIR545"	0.398157967276149	-0.209243602596146	0.003	0.007	1	"MIR545"
"FAM132A"	0.398157967276149	-0.218940149043941	0.003	0.007	1	"FAM132A"
"GCSAML"	0.398157967276149	-0.226949884825143	0.003	0.007	1	"GCSAML"
"STK32B"	0.398157967276149	-0.246062689921435	0.003	0.007	1	"STK32B"
"MIR491"	0.398157967276149	-0.28855437585366	0.003	0.007	1	"MIR491"
"PLAC9"	0.398157967276149	-0.307888024855655	0.003	0.007	1	"PLAC9"
"VEPH1"	0.398157967276149	-0.376164173365134	0.003	0.007	1	"VEPH1"
"DDR2"	0.398157967276149	-0.436037931333339	0.003	0.007	1	"DDR2"
"STEAP4"	0.398157967276149	-0.549812787074174	0.003	0.007	1	"STEAP4"
"GNA14"	0.398157967276149	-0.564748427063236	0.003	0.007	1	"GNA14"
"TGM4"	0.398157967276149	-0.602935503658864	0.003	0.007	1	"TGM4"
"DMGDH"	0.398157967276149	-0.717703224670179	0.003	0.007	1	"DMGDH"
"TGM5"	0.398157967276149	-0.842347839082743	0.003	0.007	1	"TGM5"
"SCAMP2"	0.398239402897931	-0.0264342633801898	0.691	0.645	1	"SCAMP2"
"EXOC4"	0.398314652664184	-0.0356130826797649	0.479	0.466	1	"EXOC4"
"JMJD8"	0.398460906725514	-0.310526566119788	0.322	0.345	1	"JMJD8"
"CLIC5"	0.398489163765457	0.60888241668358	0.043	0.031	1	"CLIC5"
"RAPGEFL1"	0.398578066777719	-0.0543070518835611	0.011	0.017	1	"RAPGEFL1"
"NATD1"	0.39860424988993	0.306336725302452	0.07	0.086	1	"NATD1"
"AFDN"	0.398618009695597	-0.254882642678959	0.093	0.076	1	"AFDN"
"C8orf82"	0.398716660118329	0.0456389614201589	0.03	0.021	1	"C8orf82"
"PIN1"	0.398879030304888	0.0841829755820736	0.541	0.514	1	"PIN1"
"DKC1"	0.399300707301147	-0.048699267016338	0.283	0.255	1	"DKC1"
"FNBP4"	0.399312451968111	-0.259612989340989	0.693	0.686	1	"FNBP4"
"KMT2A"	0.399320544273445	-0.211267037911527	0.647	0.679	1	"KMT2A"
"GSR"	0.399346386199362	-0.0903433893985259	0.257	0.286	1	"GSR"
"TRMT10A"	0.399350429253049	-0.642639249612364	0.052	0.066	1	"TRMT10A"
"TRAPPC6B"	0.399356452880582	-0.0476856546867037	0.292	0.262	1	"TRAPPC6B"
"KRT14"	0.399439467448518	0.688769250729333	0.003	0.007	1	"KRT14"
"PGR"	0.399439467448518	0.47093666831803	0.003	0.007	1	"PGR"
"SV2C"	0.399439467448518	0.355241159526779	0.003	0.007	1	"SV2C"
"ANKRD1"	0.399439467448518	0.152548791060801	0.003	0.007	1	"ANKRD1"
"HABP2"	0.399439467448518	0.118333854925673	0.003	0.007	1	"HABP2"
"ADGB"	0.399439467448518	0.113056122505262	0.003	0.007	1	"ADGB"
"HAPLN4"	0.399439467448518	0.0682859461274479	0.003	0.007	1	"HAPLN4"
"MIR4422"	0.399439467448518	0.0186864771380773	0.003	0.007	1	"MIR4422"
"WFDC12"	0.399439467448518	0.0037442525831386	0.003	0.007	1	"WFDC12"
"AKAP17A"	0.399439467448518	0.000692387395339722	0.003	0.007	1	"AKAP17A"
"SIX4"	0.399439467448518	0.00026356460555732	0.003	0.007	1	"SIX4"
"KCNT1"	0.399439467448518	0.000209931034056865	0.003	0.007	1	"KCNT1"
"STOX1"	0.399439467448518	-4.26497967644934e-05	0.003	0.007	1	"STOX1"
"MAOA"	0.399439467448518	-0.000762691740466614	0.003	0.007	1	"MAOA"
"CYP21A2"	0.399439467448518	-0.00126654611127908	0.003	0.007	1	"CYP21A2"
"TDRD5"	0.399439467448518	-0.0021876612548537	0.003	0.007	1	"TDRD5"
"BPIFB4"	0.399439467448518	-0.00230515221088368	0.003	0.007	1	"BPIFB4"
"SNX29P1"	0.399439467448518	-0.00266316445948078	0.003	0.007	1	"SNX29P1"
