"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"names"
"VDR"	4.74992746020374e-29	2.63863025949463	0.432	0.069	1.02750430819127e-24	"VDR"
"FCMR"	5.91008959399694e-29	-0.688870697668207	0.845	0.972	1.27847058097342e-24	"FCMR"
"ACP5"	6.68232058212391e-29	1.71787423389602	0.634	0.29	1.44551958832504e-24	"ACP5"
"TXK"	9.66010209019369e-29	-2.33752150274197	0.074	0.355	2.0896732841507e-24	"TXK"
"TMEM123"	2.87626308603797e-28	-1.03715881759747	0.664	0.879	6.22193230771734e-24	"TMEM123"
"IL32"	5.03746299908486e-28	0.495006807340018	1	1	1.08970399596204e-23	"IL32"
"APOBEC3G"	5.27271516589512e-28	1.22185025676251	0.828	0.59	1.14059374468643e-23	"APOBEC3G"
"SPOCK2"	5.77232712648134e-28	0.711181905016699	0.976	0.931	1.24866980400044e-23	"SPOCK2"
"EPB41"	6.9169639818095e-28	-1.0044127048799	0.524	0.855	1.49627764854503e-23	"EPB41"
"SERPINE2"	7.27063602901423e-28	3.14211865170216	0.401	0.055	1.57278398579636e-23	"SERPINE2"
"SH3BP5"	1.37886949414352e-27	-1.72779390100618	0.185	0.507	2.98277048973125e-23	"SH3BP5"
"KLF3-AS1"	1.49127242858955e-27	-2.07285887026155	0.035	0.269	3.22592051752491e-23	"KLF3-AS1"
"PRKCQ-AS1"	1.75188513424339e-27	-1.33995140737169	0.242	0.586	3.7896779223953e-23	"PRKCQ-AS1"
"DDIT4"	2.01426207157713e-27	1.7429220117473	0.716	0.479	4.35725171323564e-23	"DDIT4"
"CSGALNACT1"	3.51643327050189e-27	-1.57656883273472	0.213	0.548	7.60674845074968e-23	"CSGALNACT1"
"GPR183"	5.90506838226586e-27	-1.17403152946827	0.45	0.752	1.27738439245175e-22	"GPR183"
"SYNGR2"	6.13329284410107e-27	1.11314674402725	0.871	0.662	1.32675390803594e-22	"SYNGR2"
"SH3BP5-AS1"	7.38222117150541e-27	-1.51581827716125	0.195	0.517	1.59692208382005e-22	"SH3BP5-AS1"
"CXCR3"	7.65754933581148e-27	0.854523350871295	0.851	0.576	1.65648107232274e-22	"CXCR3"
"IFI6"	8.18829558967474e-27	1.53126205948878	0.802	0.493	1.77129210195844e-22	"IFI6"
"PTPN7"	9.03264562704487e-27	0.870669172225338	0.886	0.645	1.95394190204235e-22	"PTPN7"
"PKM"	1.37836519680601e-26	0.88960204807011	0.968	0.907	2.98167959373076e-22	"PKM"
"HAVCR2"	1.44224980848042e-26	1.78728934240691	0.529	0.172	3.11987478570485e-22	"HAVCR2"
"COX8A"	1.4475057681428e-26	0.928169037252634	0.898	0.717	3.1312444776465e-22	"COX8A"
"GIMAP5"	1.72681746798146e-26	-1.44744416864245	0.406	0.731	3.7354515467375e-22	"GIMAP5"
"SYTL1"	1.73703319591645e-26	-1.19294661757722	0.409	0.703	3.75755020940646e-22	"SYTL1"
"SIRPG"	3.38685561448478e-26	0.938840039554143	0.865	0.614	7.32644606525348e-22	"SIRPG"
"S1PR4"	3.61358046146332e-26	-1.33295690617246	0.318	0.634	7.81689725423745e-22	"S1PR4"
"FOSL2"	4.18523519796835e-26	2.97265434763085	0.412	0.079	9.05350078024513e-22	"FOSL2"
"FAM102A"	4.93239996401737e-26	-1.28415914244639	0.392	0.69	1.06697676021624e-21	"FAM102A"
"TTC39C"	5.75697708525057e-26	-1.06517065213754	0.54	0.81	1.2453492830814e-21	"TTC39C"
"IL1R1"	1.4978986382235e-25	2.07346586424171	0.422	0.083	3.24025433420508e-21	"IL1R1"
"EPHX2"	1.50799812358491e-25	1.81174106491824	0.538	0.203	3.26210154093888e-21	"EPHX2"
"PXN"	1.61739528365781e-25	-1.17967847725692	0.388	0.703	3.49874947760858e-21	"PXN"
"RNASEK-C17orf49"	1.64883430831859e-25	0.699261082408884	0.957	0.859	3.56675837575478e-21	"RNASEK-C17orf49"
"TCF7"	1.68383098745013e-25	-2.12247114064351	0.14	0.441	3.64246319205213e-21	"TCF7"
"STK17B"	2.04126392577281e-25	0.533278258084916	1	0.993	4.41566212423174e-21	"STK17B"
"GPX1"	4.11566180903101e-25	0.894912177832023	0.827	0.555	8.90299962529587e-21	"GPX1"
"DUSP2"	4.17845833205852e-25	2.07911091295134	0.593	0.276	9.03884106390899e-21	"DUSP2"
"HSPA1B"	4.46397547495765e-25	2.05568485817934	0.729	0.493	9.65647174742839e-21	"HSPA1B"
"IL6R"	4.61705611477607e-25	-1.30009852682999	0.281	0.603	9.98761578748359e-21	"IL6R"
"CKLF-CMTM1"	5.17942445465268e-25	1.10662558988028	0.836	0.607	1.12041309803047e-20	"CKLF-CMTM1"
"SLAMF1"	6.19659592084703e-25	0.765220915095642	0.907	0.662	1.34044762959763e-20	"SLAMF1"
"PTTG1"	6.64778807695491e-25	1.32340005211564	0.653	0.345	1.43804951680689e-20	"PTTG1"
"CD4"	7.61520209584384e-25	0.673420843683299	0.973	0.897	1.64732051737294e-20	"CD4"
"CKLF"	8.56094540476864e-25	1.08054018832625	0.845	0.624	1.85190370995955e-20	"CKLF"
"C10orf54"	1.38856373833403e-24	-0.975038410975623	0.538	0.779	3.00374107876418e-20	"C10orf54"
"ATP5E"	1.51713318823459e-24	0.864185996801036	0.992	0.986	3.28186251278906e-20	"ATP5E"
"FOS"	1.55154774179825e-24	1.57457788910221	0.488	0.148	3.35630807505796e-20	"FOS"
"EEF1G"	1.76237436583158e-24	-0.520497519273415	0.947	0.997	3.81236822816687e-20	"EEF1G"
"MIR3064"	3.11561644486989e-24	-0.708071642238182	0.971	0.986	6.73970149354254e-20	"MIR3064"
"CD3D"	4.2720298072924e-24	0.578180275256228	0.998	0.997	9.24125487913491e-20	"CD3D"
"GRINA"	7.36289253142851e-24	1.19418075767604	0.562	0.2	1.59274091239862e-19	"GRINA"
"CSF1"	1.03675795690826e-23	1.53958585032446	0.541	0.207	2.24271481238394e-19	"CSF1"
"SPATS2L"	1.04395674992151e-23	1.10194520550211	0.611	0.255	2.25828724143021e-19	"SPATS2L"
"TRAT1"	1.0803115278937e-23	-1.97167405410489	0.195	0.483	2.33692989713966e-19	"TRAT1"
"HSPA8"	1.10911441328908e-23	-0.515426890593127	0.971	0.986	2.39923629882694e-19	"HSPA8"
"WHRN"	1.29588192005832e-23	2.07808204506031	0.395	0.072	2.80325176947016e-19	"WHRN"
"CDKN1A"	1.47522215351894e-23	2.69978645531575	0.369	0.062	3.19120056249217e-19	"CDKN1A"
"TAGAP"	1.72900576092244e-23	-1.32113151334395	0.47	0.734	3.74018526202743e-19	"TAGAP"
"KAT2B"	1.88517098815009e-23	1.25183647069907	0.687	0.386	4.07800188156628e-19	"KAT2B"
"MZB1"	1.90384799253731e-23	3.03342005470626	0.345	0.045	4.11840397745672e-19	"MZB1"
"FNDC3B"	1.90625708510312e-23	1.98411420882756	0.433	0.11	4.12361532649508e-19	"FNDC3B"
"CD96"	2.19136321565603e-23	0.821752212885632	0.889	0.748	4.74035690810712e-19	"CD96"
"CD55"	2.21836818452521e-23	-1.74192208948756	0.129	0.403	4.79877405676493e-19	"CD55"
"IL10RA"	2.55276950401208e-23	-0.594864341184119	0.901	0.983	5.52215099107892e-19	"IL10RA"
"CREB3L2"	2.82210291006161e-23	1.21987218024649	0.655	0.331	6.10477301504528e-19	"CREB3L2"
"CTNNB1"	4.17152030189923e-23	0.91340807827327	0.909	0.752	9.02383271706842e-19	"CTNNB1"
"PDP1"	4.21018472363718e-23	-1.59319623991702	0.237	0.541	9.10747159417195e-19	"PDP1"
"FLNA"	5.25907459665222e-23	-0.820940652464093	0.76	0.907	1.13764301674781e-18	"FLNA"
"HSPB1"	5.63626701178825e-23	1.53855836164745	0.679	0.431	1.21923727999004e-18	"HSPB1"
"RASSF3"	6.77868887846118e-23	-1.39336876695844	0.249	0.572	1.46636597818872e-18	"RASSF3"
"PDCD1"	1.00988408045475e-22	2.08490795327736	0.503	0.203	2.18458124283971e-18	"PDCD1"
"C1orf56"	1.09054459941806e-22	-0.732293687896886	0.865	0.997	2.35906607746115e-18	"C1orf56"
"BCL2L1"	1.73904811121924e-22	1.38866294044834	0.597	0.286	3.76190887418946e-18	"BCL2L1"
"MIR4435-2HG"	2.3098978725915e-22	0.589494172919719	0.834	0.483	4.99677107798994e-18	"MIR4435-2HG"
"MIAT"	2.51683626626218e-22	-1.08249516462395	0.526	0.793	5.44442021117835e-18	"MIAT"
"IGFLR1"	3.07313607289123e-22	0.950731831179444	0.833	0.648	6.64780795287832e-18	"IGFLR1"
"GLTSCR2"	3.08165742191202e-22	-0.958721946124076	0.585	0.814	6.66624133508009e-18	"GLTSCR2"
"FUT7"	3.09137165382989e-22	-2.94915419649914	0.021	0.2	6.68725516156482e-18	"FUT7"
"ITGA6"	3.46340842914371e-22	-1.95587691509465	0.093	0.341	7.49204511392368e-18	"ITGA6"
"TMEM204"	4.10287949760736e-22	-1.76718382899438	0.1	0.352	8.87534892922423e-18	"TMEM204"
"ANXA1"	4.82120398013385e-22	-2.40167774124476	0.264	0.555	1.04292284498255e-17	"ANXA1"
"RAB37"	5.16835405566384e-22	-1.75665322507662	0.202	0.479	1.1180183493212e-17	"RAB37"
"FMNL3"	5.37102123861393e-22	1.17323656773936	0.55	0.231	1.16185931433696e-17	"FMNL3"
"ARHGDIB"	5.5947457497864e-22	-0.338523002644171	0.998	1	1.2102554005938e-17	"ARHGDIB"
"TNFAIP8"	7.37124063309402e-22	-1.02355162169277	0.462	0.759	1.5945467737509e-17	"TNFAIP8"
"SLMO2-ATP5E"	7.4606660535609e-22	0.762306483901076	0.992	0.986	1.61389128070629e-17	"SLMO2-ATP5E"
"CAMK4"	7.92574633788347e-22	-1.29778590009054	0.365	0.645	1.71449744781095e-17	"CAMK4"
"TBC1D8"	1.23223311502478e-21	2.41389156486992	0.36	0.066	2.6655666744216e-17	"TBC1D8"
"TNFRSF13B"	1.44992401423267e-21	2.33428368774642	0.328	0.041	3.13647562758812e-17	"TNFRSF13B"
"EFHD2"	1.58639819853601e-21	0.957735295580468	0.612	0.283	3.43169658307309e-17	"EFHD2"
"TNIP3"	2.19176404802721e-21	2.21233264534665	0.375	0.083	4.74122398869245e-17	"TNIP3"
"GPA33"	2.60670081447557e-21	-3.20654836812261	0.018	0.186	5.63881520187355e-17	"GPA33"
"CECR1"	2.66820213443883e-21	-1.47981491519224	0.202	0.486	5.77185485721808e-17	"CECR1"
"NME7"	2.79060126786778e-21	0.835987580936818	0.549	0.214	6.03662866265159e-17	"NME7"
"DPEP2"	2.85663665664353e-21	-1.87632059819349	0.076	0.307	6.17947641565129e-17	"DPEP2"
"LINC00963"	4.55904061234135e-21	1.34493482879139	0.453	0.138	9.86211665261681e-17	"LINC00963"
"HLA-J"	5.67995482543555e-21	0.41470749164138	1	1	1.22868782783822e-16	"HLA-J"
"MGAT4A"	5.92066121866228e-21	-1.44660974198107	0.135	0.4	1.28075743482103e-16	"MGAT4A"
"CD83"	6.03227397828686e-21	3.17633234116531	0.372	0.086	1.30490150698301e-16	"CD83"
"COTL1"	6.29759082336088e-21	-0.641547816250167	0.777	0.921	1.36229484690943e-16	"COTL1"
"C9orf139"	7.88842961492376e-21	-2.14443751469403	0.024	0.2	1.70642509430031e-16	"C9orf139"
"RPS3A"	8.56796272458476e-21	-0.502912088224493	0.957	0.997	1.85342169658217e-16	"RPS3A"
"CNN2"	8.69252617586572e-21	-0.673570187646729	0.798	0.917	1.88036726236327e-16	"CNN2"
"COL9A2"	1.14162991549656e-20	2.63614088020316	0.302	0.031	2.46957383320217e-16	"COL9A2"
"LIMD2"	1.26662119847426e-20	-0.617934544744156	0.904	0.972	2.73995497653952e-16	"LIMD2"
"ARHGEF18"	1.34756341979834e-20	-1.39758062188266	0.243	0.521	2.91504918970776e-16	"ARHGEF18"
"ZFP36L2"	1.3597788826192e-20	-0.660247088406135	0.707	0.9	2.94147367888186e-16	"ZFP36L2"
"ARHGEF1"	1.38206729314691e-20	-0.608067957690534	0.903	0.966	2.98968796853539e-16	"ARHGEF1"
"IKZF4"	1.53526665929671e-20	1.105837814459	0.587	0.269	3.32108883739065e-16	"IKZF4"
"VSIG1"	1.79581240276192e-20	-3.18885438044748	0.021	0.19	3.88470138965459e-16	"VSIG1"
"IL2RG"	1.80569708991687e-20	0.437541065048862	0.994	0.983	3.90608394490817e-16	"IL2RG"
"ENTPD1"	2.30533760345717e-20	1.27473007618548	0.681	0.428	4.98690630379855e-16	"ENTPD1"
"NUAK2"	2.4027832352117e-20	-2.62369707897485	0.03	0.21	5.19770069440995e-16	"NUAK2"
"BTG3"	2.44761122031959e-20	0.879221618729359	0.661	0.321	5.29467259179534e-16	"BTG3"
"CCR4"	3.14221998288904e-20	-1.20745439128203	0.353	0.621	6.79725026698558e-16	"CCR4"
"EDARADD"	3.28039336184169e-20	0.636329934523768	0.945	0.831	7.09614692033595e-16	"EDARADD"
"PTPN22"	3.6670371273528e-20	0.623016235784359	0.833	0.583	7.93253471388958e-16	"PTPN22"
